Constrant 1.0 Mu 9.0 sigma 2.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation
iteration 0, 89.0, 53976.654170383714
iteration 1, 92.0, 71939.90109839768
iteration 2, 101.0, 46634.60098299596
iteration 3, 93.0, 321888.76062048826
iteration 4, 87.0, 39484.33802613348
iteration 5, 81.0, 117391.92312269252
iteration 6, 89.0, 713464.1102293729
iteration 7, 89.0, 20615.91456866771
iteration 8, 216.0, 1149053.4442413899
iteration 9, 79.0, 16082.567340442742
iteration 10, 93.0, 8159.221575445068
iteration 11, 218.0, 198835.27243148774
iteration 12, 91.0, 169636.32991448202
iteration 13, 133.0, 15092.304262382942
iteration 14, 100.0, 306902.6483851044
iteration 15, 80.0, 480185.88223764603
iteration 16, 93.0, 87235.69214973217
iteration 17, 81.0, 96292.45655662671
iteration 18, 78.0, 143203.09131857145
iteration 19, 74.0, 18303.585305246248
iteration 20, 87.0, 20076.997866023958
iteration 21, 73.0, 140727.08261162683
iteration 22, 79.0, 395012.14442601806
iteration 23, 84.0, 179299.3219861811
iteration 24, 79.0, 56539.64268178858
iteration 25, 75.0, 21603.468473761015
iteration 26, 78.0, 283527.23378441896
iteration 27, 76.0, 114361.25868701267
iteration 28, 82.0, 140708.91836610276
iteration 29, 76.0, 158667.94343140334
iteration 30, 78.0, 62035.57059115589
iteration 31, 75.0, 167485.02373222465
iteration 32, 80.0, 100994.87539609193
iteration 33, 71.0, 2695945.811878629
iteration 34, 87.0, 130814.00706507676
iteration 35, 94.0, 353560.95255751675
iteration 36, 81.0, 30118.687970486088
iteration 37, 73.0, 21897.98797404088
iteration 38, 75.0, 761565.0276314617
iteration 39, 73.0, 67496.86927076106
iteration 40, 76.0, 101417.26675140862
iteration 41, 70.0, 48045.07663140818
iteration 42, 160.0, 61792.75573063684
iteration 43, 105.0, 68421.2214315914
iteration 44, 97.0, 166807.91248052297
iteration 45, 91.0, 17531.14810800165
iteration 46, 100.0, 31096.160197148733
iteration 47, 104.0, 1739343.3783313402
iteration 48, 96.0, 341378.69963154825
iteration 49, 95.0, 83431.52276527634
