Participant,Time to Receive,Size of Message,Data size on server
Participant2,559,1,1338
Participant3,539,2,2229
Participant4,544,4,3814
Participant5,525,7,6451
Participant6,573,11,10490
Participant7,627,16,16281
Participant8,609,23,24511
Participant9,688,33,36254
Participant10,758,47,52895
Participant11,794,67,76185
Participant12,1020,94,108930
Participant13,1142,132,154621
Participant14,1346,184,218163
Participant15,1773,257,306552
Participant16,2114,358,429584
Participant17,2735,497,600573
Participant18,3503,691,838064
Participant19,4688,961,1167953
Participant20,7132,1334,1625939
