Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,57,108,344,1,939
 to 8103,67,108,344,1,1476
 to 8104,57,109,344,1,2017
 to 8105,60,109,344,1,2560
 to 8106,44,109,344,1,3092
 to 8107,70,109,344,1,3636
 to 8108,63,109,344,1,4179
Participant2 to 8103,81,465,694,2,5073
Participant2 to 8104,71,466,694,2,5959
Participant2 to 8105,59,466,694,2,6846
Participant2 to 8106,49,466,694,2,7734
Participant2 to 8107,51,466,694,2,8622
Participant2 to 8108,61,466,694,2,9510
Participant3 to 8104,103,1171,1744,5,11439
Participant3 to 8105,115,1171,1744,5,13379
Participant3 to 8106,104,1172,1744,5,15316
Participant3 to 8107,113,1172,1744,5,17254
Participant3 to 8108,89,1172,1744,5,19196
Participant4 to 8105,214,2947,4194,12,23586
Participant4 to 8106,148,2948,4194,12,27972
Participant4 to 8107,144,2948,4194,12,32362
Participant4 to 8108,187,2948,4194,12,36747
Participant5 to 8106,320,7212,10144,29,47078
Participant5 to 8107,346,7212,10144,29,57422
Participant5 to 8108,363,7212,10144,29,67760
Participant6 to 8107,615,17533,24144,70,92099
Participant6 to 8108,565,17533,24144,70,116438
Participant7 to 8108,1387,42043,57744,168,174376
Participant9 to 8105,198,119,344,1,174913
Participant9 to 8107,153,121,344,1,175451
Participant9 to 8101,247,121,344,1,175990
Participant9 to 8103,803,121,344,1,176527
Participant9 to 8108,189,121,344,1,177066
Participant9 to 8106,216,121,344,1,177602
Participant9 to 8104,266,121,344,1,178140
Participant10 to 8106,187,122,344,1,178680
Participant10 to 8105,281,122,344,1,179220
Participant10 to 8101,246,122,344,1,179763
Participant10 to 8103,267,122,344,1,180298
Participant10 to 8104,284,122,344,1,180837
Participant10 to 8107,216,122,344,1,181370
Participant10 to 8102,247,121,344,1,181907
Participant11 to 8106,273,122,344,1,182452
Participant11 to 8109,244,122,344,1,182986
Participant11 to 8110,266,120,344,1,183520
Participant11 to 8105,288,122,344,1,184064
Participant11 to 8108,252,122,344,1,184595
Participant11 to 8102,268,122,344,1,185128
Participant11 to 8103,347,122,344,1,185671
Participant12 to 8101,337,121,344,1,186211
Participant12 to 8108,220,122,344,1,186753
Participant12 to 8107,162,122,344,1,187292
Participant12 to 8104,262,122,344,1,187836
Participant12 to 8110,154,121,344,1,188374
Participant12 to 8105,215,122,344,1,188916
Participant12 to 8103,237,122,344,1,189450
Participant13 to 8109,131,122,344,1,189989
Participant13 to 8103,190,122,344,1,190523
Participant13 to 8110,120,122,344,1,191058
Participant13 to 8107,118,122,344,1,191595
Participant13 to 8102,166,122,344,1,192130
Participant13 to 8108,138,122,344,1,192668
Participant13 to 8104,214,122,344,1,193208
Participant14 to 8104,194,122,344,1,193745
Participant14 to 8111,117,122,344,1,194284
Participant14 to 8107,120,122,344,1,194821
Participant14 to 8101,211,122,344,1,195359
Participant14 to 8105,202,122,344,1,195896
Participant14 to 8110,116,122,344,1,196440
Participant14 to 8112,124,121,344,1,196979
Participant15 to 8108,126,122,344,1,197524
Participant15 to 8103,200,122,344,1,198067
Participant15 to 8114,105,122,344,1,198608
Participant15 to 8105,199,121,344,1,199143
Participant15 to 8101,167,120,344,1,199679
Participant15 to 8109,122,122,344,1,200222
Participant15 to 8113,115,122,344,1,200753
