Participant,Time to Receive
Participant2,611
Participant3,572
Participant4,554
Participant5,564
Participant2,16
Participant3,24
Participant4,39
Participant5,50
Participant2,13
Participant3,16
Participant4,29
Participant5,41
Participant2,10
Participant3,18
Participant4,28
Participant5,40
Participant2,14
Participant3,20
Participant4,25
Participant5,50
Participant2,10
Participant3,15
Participant4,28
Participant5,49
Participant2,10
Participant3,15
Participant4,32
Participant5,36
Participant2,11
Participant3,22
Participant4,24
Participant5,52
Participant2,8
Participant3,23
Participant4,31
Participant5,38
Participant2,9
Participant3,15
Participant4,26
Participant5,43
Participant2,24
Participant3,12
Participant4,21
Participant5,41
