Participant,Time to Receive
Participant2,514
Participant3,831
Participant4,581
Participant5,599
Participant2,18
Participant3,67
Participant4,36
Participant5,48
Participant2,73
Participant3,19
Participant4,37
Participant5,42
Participant2,34276
Participant3,25
Participant4,35
Participant5,38
Participant2,17
Participant3,18
Participant4,30
Participant5,52
Participant2,229
Participant3,14
Participant4,162
Participant5,415
Participant2,123
Participant3,2133
Participant4,39
Participant5,37
Participant2,36
Participant3,28
Participant4,992
Participant5,1700
Participant2,8
Participant3,14
Participant4,27
Participant5,30
Participant2,9
Participant3,9468
Participant4,257
Participant5,34
Participant2,10
Participant3,56
Participant4,171
Participant5,131
